national_rank,scientific_name,common_name,class,order,family,phylum,top5,top10,evidence_support,evidence_support_label,direct_protective_context_count,direct_protective_chemical_count,warning_context_count,eligible_state_count,broad_life_stage_category_count,official_or_common_method_species,selection_incremental_gain_lower5,selection_objective_cumulative_lower5,incremental_expected_capture_lower5,validated_incremental_expected_capture_lower5,rank_scope,leave_one_out_loss_top5,support_note,cumulative_expected_capture_lower-5%,cumulative_expected_capture_lower-10%,cumulative_expected_capture_lower-20%
166,Aedes taeniorhynchus,,Insecta,Diptera,Culicidae,Arthropoda,False,False,sparse_5_19,Limited (5-19 protective contexts),16,13,0,14,1,False,8.02466190736826e-06,0.999801323501752,0.00029789867845153584,,extended_r1_greedy_order,,Limited direct protective support; interpret the rank with the reported uncertainty.,0.9582171723935865,0.9976686752018609,0.9999842087641396
167,Esox lucius,,Actinopterygii,Esociformes,Esocidae,Chordata,False,False,moderate_20_49,Moderate (20-49 protective contexts),43,35,4,4,2,False,7.678107359095504e-06,0.9998090016091116,0.0002988325048994822,,extended_r1_greedy_order,,,0.958516004898486,0.9976937260195438,0.9999844469845005
168,Perca flavescens,,Actinopterygii,Perciformes,Percidae,Chordata,False,False,strong_50_plus,Strong (50+ protective contexts),76,68,3,14,2,False,7.3675916299631785e-06,0.9998163692007412,0.00029469546301774674,,extended_r1_greedy_order,,,0.9588107003615037,0.9977162894174118,0.9999846386041974
169,Ictalurus punctatus,,Actinopterygii,Siluriformes,Ictaluridae,Chordata,False,False,strong_50_plus,Strong (50+ protective contexts),349,237,15,21,4,False,7.064688411260209e-06,0.9998234338891527,0.00029627593474612635,,extended_r1_greedy_order,,,0.9591069762962499,0.9977382114645382,0.9999848224950707
170,Corixa punctata,,Insecta,Heteroptera,Corixidae,Arthropoda,False,False,sparse_5_19,Limited (5-19 protective contexts),18,16,1,0,2,False,6.788571639865435e-06,0.9998302224607925,0.00028500372041717625,,extended_r1_greedy_order,,Limited direct protective support; interpret the rank with the reported uncertainty.,0.959391980016667,0.9977601963468603,0.9999850129764432
171,Chironomus stigmaterus,,Insecta,Diptera,Chironomidae,Arthropoda,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),1,1,0,1,1,False,6.521426480057263e-06,0.9998367438872726,0.0002715303633379351,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.959663510380005,0.9977830118607797,0.9999852383973594
172,Physalaemus cuvieri,,Amphibia,Anura,Leptodactylidae,Chordata,False,False,sparse_5_19,Limited (5-19 protective contexts),19,11,2,0,1,False,6.26672324625384e-06,0.9998430106105188,0.0002838695641702582,,extended_r1_greedy_order,,Limited direct protective support; interpret the rank with the reported uncertainty.,0.9599473799441752,0.9978036826788598,0.9999853988254164
173,Ameiurus melas,,Actinopterygii,Siluriformes,Ictaluridae,Chordata,False,False,strong_50_plus,Strong (50+ protective contexts),71,67,0,16,2,False,6.021663893869276e-06,0.9998490322744126,0.0002789061734380649,,extended_r1_greedy_order,,,0.9602262861176133,0.9978242053570537,0.9999855641182065
174,Macrobrachium dayanum,,Malacostraca,Decapoda,Palaemonidae,Arthropoda,False,False,sparse_5_19,Limited (5-19 protective contexts),5,5,0,0,1,False,5.782332161358743e-06,0.999854814606574,0.00027180635997015035,,extended_r1_greedy_order,,Limited direct protective support; interpret the rank with the reported uncertainty.,0.9604980924775834,0.9978487507470196,0.9999858348464638
175,Lecane lunaris,,Monogononta,Ploima,Lecanidae,Rotifera,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),1,1,0,0,1,False,5.552232256323762e-06,0.9998603668388303,0.0002721457587422371,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.9607702382363257,0.9978691099891291,0.999986000345771
